air03     1.000x  nodes 1 -> 1
blend2    0.397x  nodes 6827 -> 2888
dcmulti   1.030x  nodes 585 -> 135
egout     1.918x  nodes 39127 -> 42023
enigma    1.876x  nodes 2888 -> 4027
flugpl    0.364x  nodes 4495 -> 1601
khb05250  0.791x  nodes 243 -> 123
lseu      1.345x  nodes 25947 -> 34461
misc03    1.590x  nodes 803 -> 1001
misc06    1.095x  nodes 117 -> 49
mod008    1.006x  nodes 25743 -> 24677
mod010    4.505x  nodes 7 -> 7
p0033     0.443x  nodes 1609 -> 401
p0201     0.499x  nodes 1357 -> 267
rgn       0.795x  nodes 5113 -> 3601
stein27   1.123x  nodes 8949 -> 9249
stein45   1.088x  nodes 107329 -> 108103
geomean 0.998x over 17: 6 better, 8 worse, 1 past 2x
