air03     1.000x  nodes 1 -> 1
blend2    0.383x  nodes 6827 -> 2945
dcmulti   1.238x  nodes 585 -> 141
egout     1.465x  nodes 39127 -> 31707
enigma    1.701x  nodes 2888 -> 3299
flugpl    1.312x  nodes 4495 -> 5545
khb05250  0.948x  nodes 243 -> 147
lseu      1.633x  nodes 25947 -> 42613
misc03    1.647x  nodes 803 -> 913
misc06    4.527x  nodes 117 -> 109
mod008    1.001x  nodes 25743 -> 25925
mod010    3.548x  nodes 7 -> 7
p0033     0.889x  nodes 1609 -> 1009
p0201     0.635x  nodes 1357 -> 359
rgn       0.823x  nodes 5113 -> 3823
stein27   1.123x  nodes 8949 -> 9559
stein45   0.987x  nodes 107329 -> 110809
geomean 1.228x over 17: 5 better, 9 worse, 2 past 2x
