air03     1.000x  nodes 1 -> 1
blend2    0.390x  nodes 6827 -> 2763
dcmulti   1.633x  nodes 585 -> 143
egout     1.749x  nodes 39127 -> 38103
enigma    2.468x  nodes 2888 -> 4979
flugpl    0.440x  nodes 4495 -> 1669
khb05250  0.912x  nodes 243 -> 129
lseu      1.507x  nodes 25947 -> 39571
misc03    2.058x  nodes 803 -> 1043
misc06    1.405x  nodes 117 -> 47
mod008    0.788x  nodes 25743 -> 20905
mod010    2.838x  nodes 7 -> 3
p0033     0.390x  nodes 1609 -> 415
p0201     0.609x  nodes 1357 -> 199
rgn       0.863x  nodes 5113 -> 3789
stein27   1.099x  nodes 8949 -> 8881
stein45   1.178x  nodes 107329 -> 113711
geomean 1.064x over 17: 7 better, 9 worse, 3 past 2x
