air03     1.000x  nodes 1 -> 1
blend2    0.370x  nodes 6827 -> 2514
dcmulti   1.713x  nodes 585 -> 143
egout     1.749x  nodes 39127 -> 38103
enigma    2.822x  nodes 2888 -> 6138
flugpl    0.441x  nodes 4495 -> 1671
khb05250  0.911x  nodes 243 -> 129
lseu      1.353x  nodes 25947 -> 35431
misc03    2.295x  nodes 803 -> 1101
misc06    1.352x  nodes 117 -> 47
mod008    0.626x  nodes 25743 -> 15037
mod010    5.317x  nodes 7 -> 7
p0033     0.374x  nodes 1609 -> 401
p0201     0.691x  nodes 1357 -> 215
rgn       0.796x  nodes 5113 -> 3545
stein27   1.126x  nodes 8949 -> 9099
stein45   1.080x  nodes 107329 -> 111395
geomean 1.091x over 17: 7 better, 9 worse, 3 past 2x
