# clique-fix sweep, tree bcfbc1f, 2026-09-08T12:58Z
# name arm status work nodes | table line; fixings line
mod008 on optimal 158174102 2631 | 0 columns fixed by cliques and 0 nodes cut by them;
mod008 probing optimal 158200947 2631 | 0 columns fixed by cliques and 0 nodes cut by them;
mod010 off optimal 18365795 1 | clique table: 165721 conflicts over 2652 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
mod010 on optimal 18365795 1 | clique table: 165721 conflicts over 2652 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
mod010 probing optimal 20737468 1 | clique table: 167121 conflicts over 2655 literals, 5665 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
p0033 off optimal 5323016 329 | clique table: 21 conflicts over 16 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
p0033 on optimal 5506778 359 | clique table: 21 conflicts over 16 literals, 0 of the conflicts from probing;2032 columns fixed by cliques and 0 nodes cut by them;
p0033 probing optimal 5512023 359 | clique table: 23 conflicts over 16 literals, 13 of the conflicts from probing;2032 columns fixed by cliques and 0 nodes cut by them;
p0201 off optimal 198334417 797 | clique table: 753 conflicts over 201 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
p0201 on optimal 174740705 675 | clique table: 753 conflicts over 201 literals, 0 of the conflicts from probing;9945 columns fixed by cliques and 0 nodes cut by them;
p0201 probing optimal 360258168 1341 | clique table: 780 conflicts over 187 literals, 124 of the conflicts from probing;19670 columns fixed by cliques and 0 nodes cut by them;
p0282 off optimal 359137555 4997 | clique table: 409 conflicts over 249 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
p0282 on optimal 394147027 5801 | clique table: 409 conflicts over 249 literals, 0 of the conflicts from probing;83690 columns fixed by cliques and 0 nodes cut by them;
p0282 probing optimal 394201184 5801 | clique table: 409 conflicts over 249 literals, 9 of the conflicts from probing;83690 columns fixed by cliques and 0 nodes cut by them;
rgn off optimal 158550175 4233 | clique table: 1200 conflicts over 100 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
rgn on optimal 141434520 3813 | clique table: 1200 conflicts over 100 literals, 0 of the conflicts from probing;235524 columns fixed by cliques and 0 nodes cut by them;
rgn probing optimal 141493056 3813 | clique table: 1200 conflicts over 100 literals, 432 of the conflicts from probing;235524 columns fixed by cliques and 0 nodes cut by them;
stein27 off optimal 119684299 9181 | 0 columns fixed by cliques and 0 nodes cut by them;
stein27 on optimal 119684299 9181 | 0 columns fixed by cliques and 0 nodes cut by them;
stein27 probing optimal 119710234 9181 | 0 columns fixed by cliques and 0 nodes cut by them;
stein45 off optimal 2819078315 120987 | clique table: 1 conflicts over 2 literals, 0 of the conflicts from probing;0 columns fixed by cliques and 0 nodes cut by them;
stein45 on optimal 2823659158 120987 | clique table: 1 conflicts over 2 literals, 0 of the conflicts from probing;21439 columns fixed by cliques and 0 nodes cut by the;
stein45 probing optimal 2823771703 120987 | clique table: 1 conflicts over 2 literals, 2 of the conflicts from probing;21439 columns fixed by cliques and 0 nodes cut by the;
arm on       geomean 1.026x over 24, 6 better, 9 worse, 0 past 2x, 0 unfinished
arm probing  geomean 1.094x over 24, 3 better, 16 worse, 0 past 2x, 0 unfinished
