# probing sweep, tree ebd591c, 2026-09-08T12:40Z
# name arm status work nodes | probing line
lseu 0 optimal 134945386 5949 | probing: 12 of 12 fractional binaries probed, 0 fixed, 0 other bounds implied, 20676 work against the root's 24562
lseu 0.5 optimal 134938494 5949 | probing: 8 of 12 fractional binaries probed before the cap, 0 fixed, 0 other bounds implied, 13784 work against the root's 24562
lseu 1 optimal 134945386 5949 | probing: 12 of 12 fractional binaries probed, 0 fixed, 0 other bounds implied, 20676 work against the root's 24562
lseu 2 optimal 134945386 5949 | probing: 12 of 12 fractional binaries probed, 0 fixed, 0 other bounds implied, 20676 work against the root's 24562
lseu base optimal 134924710 5949 | 
misc03 0 optimal 159531469 1271 | probing: 14 of 14 fractional binaries probed, 0 fixed, 0 other bounds implied, 98942 work against the root's 198261
misc03 0.5 optimal 159531469 1271 | probing: 14 of 14 fractional binaries probed, 0 fixed, 0 other bounds implied, 98942 work against the root's 198261
misc03 1 optimal 159531469 1271 | probing: 14 of 14 fractional binaries probed, 0 fixed, 0 other bounds implied, 98942 work against the root's 198261
misc03 2 optimal 159531469 1271 | probing: 14 of 14 fractional binaries probed, 0 fixed, 0 other bounds implied, 98942 work against the root's 198261
misc03 base optimal 159432527 1271 | 
misc06 0 optimal 419578687 73 | probing: 9 of 9 fractional binaries probed, 0 fixed, 0 other bounds implied, 234126 work against the root's 4819811
misc06 0.5 optimal 419578687 73 | probing: 9 of 9 fractional binaries probed, 0 fixed, 0 other bounds implied, 234126 work against the root's 4819811
misc06 1 optimal 419578687 73 | probing: 9 of 9 fractional binaries probed, 0 fixed, 0 other bounds implied, 234126 work against the root's 4819811
misc06 2 optimal 419578687 73 | probing: 9 of 9 fractional binaries probed, 0 fixed, 0 other bounds implied, 234126 work against the root's 4819811
misc06 base optimal 419344561 73 | 
misc07 0 optimal 8475532509 35287 | probing: 21 of 21 fractional binaries probed, 0 fixed, 0 other bounds implied, 572760 work against the root's 1131806
misc07 0.5 optimal 8475532509 35287 | probing: 21 of 21 fractional binaries probed, 0 fixed, 0 other bounds implied, 572760 work against the root's 1131806
misc07 1 optimal 8475532509 35287 | probing: 21 of 21 fractional binaries probed, 0 fixed, 0 other bounds implied, 572760 work against the root's 1131806
misc07 2 optimal 8475532509 35287 | probing: 21 of 21 fractional binaries probed, 0 fixed, 0 other bounds implied, 572760 work against the root's 1131806
misc07 base optimal 8474959749 35287 | 
mod008 0 optimal 158202461 2631 | probing: 5 of 5 fractional binaries probed, 0 fixed, 0 other bounds implied, 23655 work against the root's 44444
mod008 0.5 optimal 158202461 2631 | probing: 5 of 5 fractional binaries probed, 0 fixed, 0 other bounds implied, 23655 work against the root's 44444
mod008 1 optimal 158202461 2631 | probing: 5 of 5 fractional binaries probed, 0 fixed, 0 other bounds implied, 23655 work against the root's 44444
mod008 2 optimal 158202461 2631 | probing: 5 of 5 fractional binaries probed, 0 fixed, 0 other bounds implied, 23655 work against the root's 44444
mod008 base optimal 158178806 2631 | 
