air03     1.000x  nodes 1 -> 1
blend2    0.383x  nodes 6827 -> 2877
dcmulti   1.080x  nodes 585 -> 151
egout     1.879x  nodes 39127 -> 40409
enigma    2.065x  nodes 2888 -> 4251
flugpl    0.436x  nodes 4495 -> 1865
khb05250  0.749x  nodes 243 -> 133
lseu      1.331x  nodes 25947 -> 35533
misc03    1.661x  nodes 803 -> 1009
misc06    1.065x  nodes 117 -> 51
mod008    0.902x  nodes 25743 -> 22893
mod010    2.838x  nodes 7 -> 3
p0033     0.326x  nodes 1609 -> 391
p0201     0.528x  nodes 1357 -> 329
rgn       0.804x  nodes 5113 -> 3661
stein27   1.102x  nodes 8949 -> 9601
stein45   1.250x  nodes 107329 -> 108347
geomean 0.971x over 17: 7 better, 9 worse, 2 past 2x
