air03     1.000x  nodes 1 -> 1
blend2    0.491x  nodes 6827 -> 2686
dcmulti   2.340x  nodes 585 -> 135
egout     1.729x  nodes 39127 -> 36547
enigma    1.024x  nodes 2888 -> 710
flugpl    0.418x  nodes 4495 -> 1599
khb05250  1.209x  nodes 243 -> 113
lseu      1.456x  nodes 25947 -> 37581
misc03    2.699x  nodes 803 -> 995
misc06    1.808x  nodes 117 -> 43
mod008    1.177x  nodes 25743 -> 28297
mod010    2.838x  nodes 7 -> 3
p0033     0.514x  nodes 1609 -> 479
p0201     0.857x  nodes 1357 -> 156
rgn       1.071x  nodes 5113 -> 4013
stein27   1.145x  nodes 8949 -> 8807
stein45   1.150x  nodes 107329 -> 114109
geomean 1.173x over 17: 4 better, 11 worse, 3 past 2x
