# instrument: bench/measurements/02-178/integral.c
# tree: 9efbf20
# date: 2026-09-04T19:04:43Z
# the Hadamard bound once the basis is made integral (D273)
# capacity: JM_EXACT_LIMBS=128, 4096 bits
# rawwhole:  D271's figure, the basis as read
# rawblock:  D272's figure, its largest block as read
# intwhole:  the whole basis made integral
# intblock:  its largest block made integral -- THE budget
# shift:     the largest row scale needed, in bits
# nonint:    rows that needed a scale at all
# was/now:   did D272 say it fits, and does it fit once integral

instance          rows   rawwhole   rawblock    intwhole    intblock  shift  nonint  was  now
ship04s.mps        402      220.6        1.0       589.0       105.1     58       8  yes  yes
ship08l.mps        778      349.9        2.0       991.6       215.2     59       8  yes  yes
ship08s.mps        778      349.2        2.0       990.8       215.9     59       8  yes  yes
ship12l.mps       1151      570.0        0.0      1638.0       160.3     60      10  yes  yes
ship12s.mps       1151      570.0        0.0      1638.0       160.3     60      10  yes  yes
sierra.mps        1227     1120.6       16.6      1120.6        11.6      0       0  yes  yes
stair.mps          356      379.0      346.7     20021.7     18534.8     69     196  yes   NO
standata.mps       359       85.3        0.0       848.1         0.0     49       5  yes  yes
standmps.mps       467      497.5        4.6      7141.4         4.6     49       5  yes  yes
stocfor1.mps       117      179.6       46.3      3790.1       605.5     55      60  yes  yes
stocfor2.mps      2157     4504.9      126.4     52198.2      1900.3     55     756  yes  yes
stocfor3.mps     16675    36846.7      118.8    406916.3      1851.0     55    6048  yes  yes
truss.mps         1000      493.5       54.6     45571.6      6760.0     54     970  yes   NO
tuff.mps           333      396.0      117.9      7984.8      1499.3     69     140  yes  yes
vtp-base.mps       198      350.8       79.2      1933.0       157.3     54      12  yes  yes
wood1p.mps         244     1986.6      389.5     12566.7      2551.1     67     170  yes  yes
woodw.mps         1098     8643.3      216.3     32324.3       667.7     59     297  yes  yes
cre-a.mps         3516     2617.4      286.1     19289.7      3546.2     53       5  yes  yes
cre-b.mps         9648     5198.4      384.8     27265.7      4563.1     53       8  yes   NO
cre-c.mps         3068     2444.8      375.5     19113.1      4287.4     53       5  yes   NO
cre-d.mps         8926     4092.8      167.8     19916.1       859.2     53       8  yes  yes
ken-07.mps        2426     1405.4        0.0      1405.4         0.0      0       0  yes  yes
ken-11.mps       14694     7855.2        0.0      7855.2         0.0      0       0  yes  yes
ken-13.mps       28632    14707.9        0.0     14707.9         0.0      0       0  yes  yes
ken-18.mps      105127    52522.7       34.1     52522.7        34.1      0       0  yes  yes
osa-07.mps        1118      816.8        1.5     19372.0        52.5     53      54  yes  yes
osa-14.mps        2337     1730.0        1.2     42647.9        52.2     53      54  yes  yes
osa-30.mps        4350     3386.7        1.2     84078.9        52.2     54      60  yes  yes
osa-60.mps       10280     6395.8        1.2    161752.7        52.2     54      66  yes  yes
pds-02.mps        2953     1014.5       12.4      1014.5        12.4      0       0  yes  yes
pds-06.mps        9881     4186.7       98.2      4186.7        98.2      0       0  yes  yes
pds-10.mps       16558     7416.1      273.7      7416.1       273.7      0       0  yes  yes
pds-20.mps       33874    15681.6      855.5     15681.6       855.5      0       0  yes  yes

110 bases
already integral: 19
blocks fit as read: 110;  blocks fit once integral: 86;  lost to the scaling: 24
