# the two budgets, joined from 02-177/blocks.txt and 02-178/integral.txt
# k:      the largest block, from blocks.txt
# bits:   that block's Hadamard bound once integral, from integral.txt
# limbs:  ceil(bits / 32), what one number costs
# mem:    k*k numbers of that width, dense, in MiB
# mults:  about k**3/3 products of them
# width:  does bits fit the 4096 the file has
# both:   width, and the block small enough to hold and to run

instance              k       bits   limbs      mem_MiB        mults  width  both
ship04s.mps           4      105.1       4          0.0         21.3    yes   yes
ship08l.mps           8      215.2       7          0.0          171    yes   yes
ship08s.mps           8      215.9       7          0.0          171    yes   yes
ship12l.mps           5      160.3       5          0.0         41.7    yes   yes
ship12s.mps           5      160.3       5          0.0         41.7    yes   yes
sierra.mps            1       11.6       1          0.0        0.333    yes   yes
stair.mps           324    18534.8     580        233.1     1.13e+07     NO    NO
standata.mps          1        0.0       1          0.0        0.333    yes   yes
standmps.mps          1        4.6       1          0.0        0.333    yes   yes
stocfor1.mps         13      605.5      19          0.0          732    yes   yes
stocfor2.mps         40     1900.3      60          0.4     2.13e+04    yes   yes
stocfor3.mps         39     1851.0      58          0.3     1.98e+04    yes   yes
truss.mps           134     6760.0     212         14.7     8.02e+05     NO    NO
tuff.mps             33     1499.3      47          0.2      1.2e+04    yes   yes
vtp-base.mps         31      157.3       5          0.0     9.93e+03    yes   yes
wood1p.mps           38     2551.1      80          0.5     1.83e+04    yes   yes
woodw.mps            21      667.7      21          0.0     3.09e+03    yes   yes

110 instances joined
width alone says yes on 86
width and block size together say yes on 85 (memory ceiling 1024 MiB, 1e+10 products)
