instance           rows   cols   hits rows_hit    eq    in    ok   dec ok_rows   ok_nz   c0  rng
pds-100.mps      156243 505360      0        0     0     0     0     0       0       0    0    0
pds-30.mps        49944 154998      0        0     0     0     0     0       0       0    0    0
pds-40.mps        66844 212859      0        0     0     0     0     0       0       0    0    0
pds-50.mps        83060 270095      0        0     0     0     0     0       0       0    0    0
pds-60.mps        99431 329643      0        0     0     0     0     0       0       0    0    0
pds-70.mps       114944 382311      0        0     0     0     0     0       0       0    0    0
pds-80.mps       129181 426278      0        0     0     0     0     0       0       0    0    0
pds-90.mps       142823 466671      0        0     0     0     0     0       0       0    0    0
