# JAOS comparison, tier T2, minimum of 2 runs
# machine: Linux x86_64 AMD Ryzen 5 9600X 6-Core Processor UNDER-WSL-DEVELOPMENT-NUMBER
# tree: b956026 WITH UNCOMMITTED CHANGES
# instance solver status objective iters solve_s process_s
e226	jaos	optimal/ok	-11.638929066370535	346	0.004017	0.007360
e226	highs	Optimal/ok	-1.1638929066e+01	335	0.01	0.036621
e226	soplex	optimal/ok	-1.16389291e+01	505	0.00	0.027589
etamacro	jaos	optimal/ok	-755.71523319920709	708	0.011511	0.016036
etamacro	highs	Optimal/ok	-7.5571523330e+02	419	0.01	0.038779
etamacro	soplex	optimal/ok	-7.55715233e+02	693	0.00	0.030739
fffff800	jaos	optimal/ok	555679.56481749634	849	0.018063	0.024927
fffff800	highs	Optimal/ok	5.5567956482e+05	411	0.01	0.043224
fffff800	soplex	optimal/ok	5.55679565e+05	1055	0.00	0.034599
finnis	jaos	optimal/ok	172791.0655056356	333	0.003262	0.007801
finnis	highs	Optimal/ok	1.7279106560e+05	246	0.01	0.037310
finnis	soplex	optimal/ok	1.72791066e+05	548	0.00	0.026760
fit1d	jaos	optimal/ok	-9146.3780924209277	66	0.001504	0.011800
fit1d	highs	Optimal/ok	-9.1463780924e+03	58	0.01	0.049628
fit1d	soplex	optimal/ok	-9.14637809e+03	131	0.00	0.036243
fit1p	jaos	optimal/ok	9146.378092420935	805	0.034860	0.043820
fit1p	highs	Optimal/ok	9.1463780924e+03	860	0.02	0.062379
fit1p	soplex	optimal/ok	9.14637809e+03	3573	0.07	0.103620
fit2d	jaos	optimal/ok	-68464.293293832103	131	0.057129	0.131924
fit2d	highs	Optimal/ok	-6.8464293294e+04	129	0.07	0.209138
fit2d	soplex	optimal/ok	-6.84642933e+04	994	0.12	0.239033
fit2p	jaos	optimal/ok	68464.293293832176	4882	2.412639	2.455222
fit2p	highs	Optimal/ok	6.8464293294e+04	4907	0.49	0.579283
fit2p	soplex	optimal/ok	6.84642933e+04	14462	1.23	1.291787
forplan	jaos	optimal/ok	-664.21896127220464	211	0.001941	0.007402
