# tree: 078a862 plus a JAOS_DIAG patch, outside the repo
# rel = (total - best_so_far) / best_so_far at the top of each phase-1
# iteration; max_rel is the largest ever, over_X how many iterations
# exceeded X. All 94 standard instances, forced-primal solve.

RR grow7 p1_iters=213 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR israel p1_iters=375 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR kb2 p1_iters=2 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR lotfi p1_iters=156 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR maros p1_iters=1608 max_rel=1.90735e-16 at_iter=1535 total=2.49999e+09 best=2.49999e+09 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR maros-r7 p1_iters=5881 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR modszk1 p1_iters=15 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR nesm p1_iters=2054 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR perold p1_iters=3087 max_rel=1.25717e-05 at_iter=562 total=1.24928e+12 best=1.24927e+12 over_1e-9=252 over_1e-6=251 over_1e-3=0 over_1=0
RR pilot p1_iters=13640 max_rel=4.84751e-08 at_iter=11598 total=292.708 best=292.708 over_1e-9=1 over_1e-6=0 over_1e-3=0 over_1=0
RR pilot-ja p1_iters=6255 max_rel=25.0449 at_iter=2091 total=1.63158e+14 best=6.26451e+12 over_1e-9=608 over_1e-6=554 over_1e-3=447 over_1=316
RR pilot-we p1_iters=1993 max_rel=2.53139e-10 at_iter=1763 total=3925.1 best=3925.1 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR pilot4 p1_iters=2570 max_rel=8.96105e-14 at_iter=1781 total=4.65884e+11 best=4.65884e+11 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR pilot87 p1_iters=390373 max_rel=8.43144e+13 at_iter=351201 total=7.92411e+25 best=9.39829e+11 over_1e-9=260677 over_1e-6=259587 over_1e-3=247308 over_1=80615
RR pilotnov p1_iters=2273 max_rel=9.45828e-07 at_iter=722 total=9.27501e+11 best=9.275e+11 over_1e-9=558 over_1e-6=0 over_1e-3=0 over_1=0
RR recipe p1_iters=38 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR sc105 p1_iters=2 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR sc205 p1_iters=2 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR sc50a p1_iters=2 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR sc50b p1_iters=2 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR scagr25 p1_iters=617 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR scagr7 p1_iters=148 max_rel=4.75075e-07 at_iter=146 total=2.78708 best=2.78708 over_1e-9=1 over_1e-6=0 over_1e-3=0 over_1=0
RR scfxm1 p1_iters=408 max_rel=3.8147e-16 at_iter=325 total=1e+10 best=1e+10 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR scfxm2 p1_iters=836 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR scfxm3 p1_iters=1196 max_rel=1.79515e-16 at_iter=241 total=8.5e+10 best=8.5e+10 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR scorpion p1_iters=259 max_rel=2.00447e-16 at_iter=188 total=4.43099 best=4.43099 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR scrs8 p1_iters=1740 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR scsd1 p1_iters=119 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR scsd6 p1_iters=799 max_rel=1.60593e-16 at_iter=789 total=0.691328 best=0.691328 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR scsd8 p1_iters=2862 max_rel=0.000893711 at_iter=2635 total=40.865 best=40.8285 over_1e-9=39 over_1e-6=39 over_1e-3=0 over_1=0
RR sctap1 p1_iters=147 max_rel=2.74809e-16 at_iter=65 total=25.8559 best=25.8559 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR sctap2 p1_iters=377 max_rel=6.57108e-13 at_iter=159 total=59.7428 best=59.7428 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR sctap3 p1_iters=490 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR seba p1_iters=120 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR share1b p1_iters=151 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR share2b p1_iters=118 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR shell p1_iters=551 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR ship04l p1_iters=454 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR ship04s p1_iters=215 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR ship08l p1_iters=644 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR ship08s p1_iters=288 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR ship12l p1_iters=1242 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR ship12s p1_iters=555 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR sierra p1_iters=494 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR stair p1_iters=860 max_rel=1.73491e-15 at_iter=845 total=4.09556 best=4.09556 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR standata p1_iters=48 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR standmps p1_iters=164 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR stocfor1 p1_iters=166 max_rel=1.35634e-16 at_iter=69 total=2.25e+11 best=2.25e+11 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR stocfor2 p1_iters=3141 max_rel=3.74979e-16 at_iter=2202 total=2.60431e+12 best=2.60431e+12 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR stocfor3 p1_iters=22760 max_rel=5.58496e-15 at_iter=10653 total=3.637e+13 best=3.637e+13 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR truss p1_iters=2803 max_rel=3.96363e-15 at_iter=2405 total=118.315 best=118.315 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR tuff p1_iters=786 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR vtp-base p1_iters=88 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR wood1p p1_iters=3830 max_rel=0 at_iter=-1 total=0 best=0 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
RR woodw p1_iters=2682 max_rel=2.3428e-14 at_iter=1594 total=10.5392 best=10.5392 over_1e-9=0 over_1e-6=0 over_1e-3=0 over_1=0
# control: 106 record lines written
